ProbeNumTxCycles,NumTxElements,TxFrequencyHz,ElevAperIndex,IsTxChannelModulationEn,TxpgWaveformStyle,profTxVoltageVolt,VTxIndex,probePitchCm,probeRadiusCm,probeElevAperCm0,scanRange,pulseRepetRate,AI_param,measSetComments
2.0,7.7,4210500,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
3.0,7.7,4210500,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
2.0,7.7,5333300,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
1.5,7.7,5714300,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
1.5,7.7,6666700,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
1.5,7.7,8000000,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
2.0,8.9,3076900,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
2.0,8.9,3333300,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
2.0,8.9,3636400,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
2.0,8.9,3809500,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
1.5,8.9,4000000,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
4.0,5.5,3636400,0,0,1,56.04,0,0.029999999329447746,0.0,0.5,3.8399999141693115,0,30000.0,Beamstyle_11L4_temperature
2.0,77.0,4210500,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
3.0,77.0,4210500,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
2.0,77.0,5333300,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
1.5,77.0,5714300,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
1.5,77.0,6666700,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
1.5,77.0,8000000,0,0,2,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
2.0,89.0,3076900,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
2.0,89.0,3333300,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
2.0,89.0,3636400,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
2.0,89.0,3809500,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
1.5,89.0,4000000,0,1,1,57.71,1,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
4.0,55.0,3636400,0,0,1,56.04,0,0.029999999329447746,0.0,0.5,0.0,0,30000.0,Beamstyle_11L4_temperature
